strain	date	url	S1_mutations	country	host	mutational_fitness	genbank_accession	emerging_lineage	division	region	pango_lineage	recency	epiweek	current_frequency	clade_membership	author	accession	originating_lab	submitting_lab	logistic_growth	cazzo
BRA/SP-NVBS11545GENOV701801844687/2021	12/10/2021		8	Brazil	Homo sapiens	0.91	ON583386		Brazil	South America	AY.99.2	Older	202149		21J (Delta)	Guarischi et al AO					cazzo
BRA/PE-NVBS8355GENOV828254143607/2021	10/13/2021		7	Brazil	Homo sapiens	0.91	ON579752		Brazil	South America	AY.99.2	Older	202141		21J (Delta)	Guarischi et al AP					cazzo
BRA/DF-NVBS5931GENOV828113283680/2021	9/13/2021		7	Brazil	Homo sapiens	0.91	ON579323		Brazil	South America	AY.99.2	Older	202137		21J (Delta)	Guarischi et al AQ					cazzo
BRA/DF-NVBS9928GENOV828350684318/2021	11/3/2021		7	Brazil	Homo sapiens	0.91	ON581883		Brazil	South America	AY.99.2	Older	202144		21J (Delta)	Guarischi et al AR					cazzo
BRA/DF-NVBS9910GENOV828353073584/2021	11/3/2021		9	Brazil	Homo sapiens	0.92	ON582022		Brazil	South America	AY.99.2	Older	202144		21J (Delta)	Guarischi et al AS					cazzo
COM/SS3791/2021	10/9/2021		9	Union of the Comoros	Homo sapiens	0.97	OL691599		Union of the Comoros	Africa	AY.118	Older	202140		21J (Delta)	Githinji et al AV					cazzo
COM/SS3790/2021	10/5/2021		10	Union of the Comoros	Homo sapiens	0.96	OL691591		Union of the Comoros	Africa	AY.118	Older	202140		21J (Delta)	Githinji et al AW					cazzo
COM/SS3794/2021	10/16/2021		9	Union of the Comoros	Homo sapiens	0.96	OL691593		Union of the Comoros	Africa	AY.118	Older	202141		21J (Delta)	Githinji et al AX					cazzo
USA/OH-CDC-ASC210518598/2021	10/31/2021		8	USA	Homo sapiens	0.95	OL576411		Ohio	North America	AY.118	Older	202144		21J (Delta)	Howard et al BV		Aegis Sciences Corporation	CDC-OAMD		cazzo
USA/NC-CDC-LC0165065/2021	8/7/2021		10	USA	Homo sapiens	0.99	MZ941582		North Carolina	North America	AY.118	Older	202131		21J (Delta)	Howard et al BW					cazzo
USA/SC-CDC-QDX31280616/2021	11/19/2021		9	USA	Homo sapiens	0.94	OL932018		South Carolina	North America	AY.118	Older	202146		21J (Delta)	Howard et al BX					cazzo
USA/IN-CDC-STM-000733857/2021	9/18/2021		9	USA	Homo sapiens	0.98	OK525114		Indiana	North America	AY.118	Older	202137		21J (Delta)	Howard et al BY					cazzo
USA/WV-CDC-LC0375163/2021	11/4/2021		9	USA	Homo sapiens	0.95	OL641977		West Virginia	North America	AY.118	Older	202144		21J (Delta)	Howard et al BZ		Laboratory Corporation of America	CDC-OAMD		cazzo
USA/OK-CDC-LC0189847/2021	7/28/2021		8	USA	Homo sapiens	0.93	MZ994444		Oklahoma	North America	AY.103	Older	202130		21J (Delta)	Howard et al CA					cazzo
USA/NM-CDC-LC0130377/2021	7/25/2021		8	USA	Homo sapiens	0.93	OK127249		New Mexico	North America	AY.103	Older	202130		21J (Delta)	Howard et al CB					cazzo
USA/NE-CDC-2-4567667/2021	6/8/2021		8	USA	Homo sapiens	0.93	MZ511593		Nebraska	North America	AY.103	Older	202123		21J (Delta)	Sheth et al T					cazzo
USA/NM-CDC-LC0294889/2021	9/15/2021		8	USA	Homo sapiens	0.94	OK452860		New Mexico	North America	AY.103	Older	202137		21J (Delta)	Howard et al CC					cazzo
USA/RI-CDCBI-RIDOH_OLQPH4OBRLVHVG7R/2021	8/8/2021		8	USA	Homo sapiens	0.96	MZ933715		Rhode Island	North America	AY.103	Older	202132		21J (Delta)	Lemieux et al N		Rhode Island Department of Health	Broad Institute Genomic Center for Infectious Diseases		cazzo
USA/AS-CDC-2-5343436/2021	11/4/2021		10	USA	Homo sapiens	0.93	OM258737		American Samoa	North America	AY.103	Older	202144		21J (Delta)	Sheth et al U		Tafuna Health Center	CDC DVD Genomics and DIscovery Team		cazzo
USA/MO-CDC-LC0220188/2021	8/16/2021		9	USA	Homo sapiens	0.93	OK155002		Missouri	North America	AY.103	Older	202133		21J (Delta)	Howard et al CD					cazzo
USA/NC-CDC-LC0197370/2021	8/17/2021		10	USA	Homo sapiens	0.93	OK099203		North Carolina	North America	AY.103	Older	202133		21J (Delta)	Howard et al CE					cazzo
TWN/CGMH-CGU-91/2021	10/27/2021		9	Taiwan	Homo sapiens	0.95	ON005343		Taiwan	Asia	AY.103	Older	202143		21J (Delta)	Tsao et al K					cazzo
USA/HI-CDC-QDX30320221/2021	10/22/2021		9	USA	Homo sapiens	0.93	OL388831		Hawaii	North America	AY.103	Older	202142		21J (Delta)	Howard et al CF					cazzo
USA/DE-CDC-IBX849834584925/2021	12/2/2021		8	USA	Homo sapiens	0.93	OL959071		Delaware	North America	AY.103	Older	202148		21J (Delta)	Howard et al CG		Infinity Biologix	CDC-OAMD		cazzo
USA/NM-CDC-ASC210209944/2021	8/1/2021		7	USA	Homo sapiens	0.91	OK014343		New Mexico	North America	AY.103	Older	202131		21J (Delta)	Howard et al CH					cazzo
PLW/PW-CDC-2-5064293/2021	8/20/2021		10	Palau	Homo sapiens	0.92	OL607066		Palau	Oceania	AY.103	Older	202133		21J (Delta)	Sheth et al V		Belau National Hospital	CDC DVD Genomics and DIscovery Team		cazzo
USA/NC-CDC-LC0228119/2021	8/24/2021		9	USA	Homo sapiens	0.96	OK130034		North Carolina	North America	AY.103	Older	202134		21J (Delta)	Howard et al CI					cazzo
USA/NH-CDC-QDX29361248/2021	10/1/2021		8	USA	Homo sapiens	0.93	OK573997		New Hampshire	North America	AY.103	Older	202139		21J (Delta)	Howard et al CJ					cazzo
USA/OH-CDC-ASC210634850/2021	12/18/2021		8	USA	Homo sapiens	0.92	OM097127		Ohio	North America	AY.103	Older	202150		21J (Delta)	Howard et al CK		Aegis Sciences Corporation	CDC-OAMD		cazzo
USA/KY-CDC-QDX30610806/2021	10/29/2021		8	USA	Homo sapiens	0.93	OL493192		Kentucky	North America	AY.103	Older	202143		21J (Delta)	Howard et al CL		Quest Diagnostics Incorporated	CDC-OAMD		cazzo
USA/NM-CDC-ASC210480496/2021	11/15/2021		8	USA	Homo sapiens	0.93	OL748621		New Mexico	North America	AY.103	Older	202146		21J (Delta)	Howard et al CM					cazzo
USA/KS-CDC-LC0375702/2021	11/5/2021		9	USA	Homo sapiens	0.93	OL642069		Kansas	North America	AY.103	Older	202144		21J (Delta)	Howard et al CN		Laboratory Corporation of America	CDC-OAMD		cazzo
USA/WY-CDC-FG-173472/2021	11/10/2021		8	USA	Homo sapiens	0.93	OL711034		Wyoming	North America	AY.103	Older	202145		21J (Delta)	Howard et al CO		Fulgent Genetics	CDC-OAMD		cazzo
USA/FL-CDC-STM-U78ZSDZ9N/2021	11/9/2021		8	USA	Homo sapiens	0.93	OL649091		Florida	North America	AY.103	Older	202145		21J (Delta)	Howard et al CP		'Helix'	CDC-OAMD		cazzo
USA/CA-CDC-QDX28360606/2021	8/30/2021		8	USA	Homo sapiens	0.93	OK270227		California	North America	AY.103	Older	202135		21J (Delta)	Howard et al CQ					cazzo
USA/2107260277/2021	7/26/2021		8	USA	Homo sapiens	0.92	MZ801135		New Hampshire	North America	AY.103	Older	202130		21J (Delta)	Benton et al B					cazzo
USA/VT-CDCBI-CRSP_27DJH3GAGMA6RAQ7/2021	11/8/2021		8	USA	Homo sapiens	0.93	OL545984		Vermont	North America	AY.103	Older	202145		21J (Delta)	Lemieux et al O		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases		cazzo
USA/IN-CDC-LC0307375/2021	9/29/2021		10	USA	Homo sapiens	0.95	OK521946		Indiana	North America	AY.103	Older	202139		21J (Delta)	Howard et al CR					cazzo
USA/ME-CDC-ASC210397518/2021	11/11/2021		8	USA	Homo sapiens	0.95	OL759950		Maine	North America	AY.103	Older	202145		21J (Delta)	Howard et al CS		Aegis Sciences Corporation	CDC-OAMD		cazzo
USA/CT-CDC-ASC210410887/2021	9/15/2021		7	USA	Homo sapiens	0.94	OK499870		Connecticut	North America	AY.103	Older	202137		21J (Delta)	Howard et al CT					cazzo
USA/AL-CDC-ASC210128066/2021	9/4/2021		7	USA	Homo sapiens	0.93	OK475209		Alabama	North America	AY.103	Older	202135		21J (Delta)	Howard et al CU					cazzo
USA/NM-CDC-ASC210479324/2021	10/25/2021		8	USA	Homo sapiens	0.93	OL480650		New Mexico	North America	AY.103	Older	202143		21J (Delta)	Howard et al CV					cazzo
USA/CO-CDC-MMB11015922/2021	10/12/2021		8	USA	Homo sapiens	0.94	OL447506		Colorado	North America	AY.103	Older	202141		21J (Delta)	Howard et al CW					cazzo
Argentina/UW21122959054/2021	12/29/2021		8	Argentina	Homo sapiens	0.92	ON908313		Argentina	South America	AY.103	Older	202152		21J (Delta)	Roychoudhury et al O					cazzo
USA/MN-CDC-STM-000741952/2021	10/11/2021		8	USA	Homo sapiens	0.96	OK660669		Minnesota	North America	AY.103	Older	202141		21J (Delta)	Howard et al CX					cazzo
USA/MN-CDC-IBX853319648009/2021	9/29/2021		8	USA	Homo sapiens	0.97	OK488882		Minnesota	North America	AY.103	Older	202139		21J (Delta)	Howard et al CY					cazzo
USA/WA-CDC-LC0385556/2021	11/16/2021		8	USA	Homo sapiens	0.95	OL684276		Washington	North America	AY.103	Older	202146		21J (Delta)	Howard et al CZ					cazzo
USA/HI-CDC-QDX30901060/2021	11/5/2021		9	USA	Homo sapiens	0.91	OL726504		Hawaii	North America	AY.103	Older	202144		21J (Delta)	Howard et al DA		Quest Diagnostics Incorporated	CDC-OAMD		cazzo
USA/NV-CDC-FG-191336/2021	12/10/2021		8	USA	Homo sapiens	0.98	OL912409		Nevada	North America	AY.103	Older	202149		21J (Delta)	Howard et al DB		Fulgent Genetics	CDC-OAMD		cazzo
USA/NE-CDC-ASC210519761/2021	11/2/2021		7	USA	Homo sapiens	0.96	OL593592		Nebraska	North America	AY.103	Older	202144		21J (Delta)	Howard et al DC		Aegis Sciences Corporation	CDC-OAMD		cazzo
IND/INSACOG-GBRC1594/2021	8/16/2021		8	India	Homo sapiens	0.9	OM899974		India	Asia	AY.25	Older	202133		21J (Delta)	Kumar et al B					cazzo
USA/LA-BIE-LSUH002094/2021	9/8/2021		9	USA	Homo sapiens	0.92	OK287863		Louisiana	North America	AY.25	Older	202136		21J (Delta)	Feehan et al B					cazzo
USA/MP-CDC-2-5715350/2021	12/19/2021		9	USA	Homo sapiens	0.92	ON333208		Northern Mariana Islands	North America	AY.25	Older	202151		21J (Delta)	Sheth et al W		Commonwealth Healthcare Center	CDC DVD Genomics and DIscovery Team		cazzo
USA/GU-CDC-2-5097638/2021	9/29/2021		8	USA	Homo sapiens	0.94	OL520438		Guam	North America	AY.25	Older	202139		21J (Delta)	Sheth et al X		Guam Public Health Laboratory	CDC DVD Genomics and DIscovery Team		cazzo
USA/GU-CDC-2-5203723/2021	10/2/2021		8	USA	Homo sapiens	0.94	OL743580		Guam	North America	AY.25	Older	202139		21J (Delta)	Sheth et al Y		Guam Public Health Laboratory	CDC DVD Genomics and DIscovery Team		cazzo
Argentina/UW21122520125/2021	12/25/2021		8	Argentina	Homo sapiens	0.92	OP012969		Argentina	South America	AY.25	Older	202151		21J (Delta)	Roychoudhury et al P					cazzo
Argentina/UW21122751742/2021	12/27/2021		8	Argentina	Homo sapiens	0.92	ON908357		Argentina	South America	AY.25	Older	202152		21J (Delta)	Roychoudhury et al Q					cazzo
Argentina/UW21123022932/2021	12/30/2021		8	Argentina	Homo sapiens	0.92	ON908334		Argentina	South America	AY.25	Older	202152		21J (Delta)	Roychoudhury et al R					cazzo
USA/KF-0171MidTurbinateNasal/2021	9/10/2021		9	USA	Homo sapiens	0.9	ON012692		Hawaii	North America	AY.25	Older	202136		21J (Delta)	Tseng et al A					cazzo
USA/DE-CDC-LC0305482/2021	9/29/2021		9	USA	Homo sapiens	0.88	OK521773		Delaware	North America	AY.25	Older	202139		21J (Delta)	Howard et al DD					cazzo
USA/VSP5173/2021	6/26/2021		8	USA	Homo sapiens	0.91	OK246983		Pennsylvania	North America	AY.25	Older	202125		21J (Delta)	Marques et al C					cazzo
USA/OH-CDC-QDX26988628/2021	7/18/2021		9	USA	Homo sapiens	0.93	MZ741799		Ohio	North America	AY.25	Older	202129		21J (Delta)	Howard et al DE		Quest Diagnostics Incorporated	CDC-OAMD		cazzo
USA/LA-EVTL8829/2021	9/22/2021		9	USA	Homo sapiens	0.9	ON947701		Louisiana	North America	AY.25	Older	202138		21J (Delta)	Atkins et al A					cazzo
USA/OK-CDC-ASC210111871/2021	7/7/2021		8	USA	Homo sapiens	0.9	MZ705742		Oklahoma	North America	AY.25	Older	202127		21J (Delta)	Howard et al DF		Aegis Sciences Corporation	CDC-OAMD		cazzo
USA/NC-CDC-ASC210477674/2021	10/21/2021		9	USA	Homo sapiens	0.9	OL478211		North Carolina	North America	AY.25	Older	202142		21J (Delta)	Howard et al DG					cazzo
USA/TX-CDC-QDX28131073/2021	8/23/2021		9	USA	Homo sapiens	0.9	OK095727		Texas	North America	AY.25	Older	202134		21J (Delta)	Howard et al DH					cazzo
USA/TX-CDC-LC0160051/2021	8/5/2021		9	USA	Homo sapiens	0.92	MZ888431		Texas	North America	AY.25	Older	202131		21J (Delta)	Howard et al DI					cazzo
USA/NM-CDC-LC0313236/2021	9/17/2021		9	USA	Homo sapiens	0.92	OK516279		New Mexico	North America	AY.25	Older	202137		21J (Delta)	Howard et al DJ					cazzo
CHL/AR-UFRO-0495/2021	12/4/2021		7	Chile	Homo sapiens	0.94	OM146465		Chile	South America	AY.25.1	Older	202148		21J (Delta)	Leyton-Carcaman et al V					cazzo
DOM/1568238/2021	11/30/2021		8	Dominican Republic	Homo sapiens	0.91	OM248509		Dominican Republic	North America	AY.25.1	Older	202148		21J (Delta)	Sanchez et al C					cazzo
COL/LIME_39127/2021	11/27/2021		8	Colombia	Homo sapiens	0.9	OP303168		Colombia	South America	AY.25.1	One week ago	202147		21J (Delta)	Murillo et al C					cazzo
Colombia/CO-SAN-UW21111638288/2021	11/16/2021		8	Colombia	Homo sapiens	0.92	ON150740		Colombia	South America	AY.25.1	Older	202146		21J (Delta)	Roychoudhury et al S					cazzo
Colombia/CO-ANT-UW21112682564/2021	11/26/2021		7	Colombia	Homo sapiens	0.9	ON259307		Colombia	South America	AY.25.1	Older	202147		21J (Delta)	Roychoudhury et al T					cazzo
Colombia/CO-ANT-UW21120525120/2021	12/5/2021		8	Colombia	Homo sapiens	0.94	ON150708		Colombia	South America	AY.25.1	Older	202149		21J (Delta)	Roychoudhury et al U					cazzo
USA/KY-CDC-LC0229544/2021	8/26/2021		8	USA	Homo sapiens	0.91	OK132735		Kentucky	North America	AY.25.1	Older	202134		21J (Delta)	Howard et al DK					cazzo
USA/AK-PHL11480/2021	8/10/2021		7	USA	Homo sapiens	0.91	MZ927623		Alaska	North America	AY.25.1	Older	202132		21J (Delta)	DeRonde et al D					cazzo
USA/ID-CDC-2-5173947/2021	10/31/2021		8	USA	Homo sapiens	0.91	OL743844		Idaho	North America	AY.25.1	Older	202144		21J (Delta)	Sheth et al Z		ID Bureau of Laboratories	CDC DVD Genomics and DIscovery Team		cazzo
USA/MO-UMGC-28013/2021	12/13/2021		8	USA	Homo sapiens	0.92	OM180508		Missouri	North America	AY.25.1	Older	202150		21J (Delta)	Gohl et al C					cazzo
USA/VA-DCLS-9497/2021	9/23/2021		7	USA	Homo sapiens	0.92	OL740128		Virginia	North America	AY.25.1	Older	202138		21J (Delta)	Fink et al A					cazzo
CHL/AR-UFRO-0035/2021	9/28/2021		7	Chile	Homo sapiens	0.92	OM146097		Chile	South America	AY.25.1	Older	202139		21J (Delta)	Leyton-Carcaman et al W					cazzo
CHL/AR-UFRO-0151/2021	10/5/2021		7	Chile	Homo sapiens	0.93	OM146197		Chile	South America	AY.25.1	Older	202140		21J (Delta)	Leyton-Carcaman et al X					cazzo
CHL/AR-UFRO-0091/2021	9/28/2021		7	Chile	Homo sapiens	0.93	OM146140		Chile	South America	AY.25.1	Older	202139		21J (Delta)	Leyton-Carcaman et al Y					cazzo
CHL/AR-UFRO-0459/2021	11/12/2021		7	Chile	Homo sapiens	0.98	OM146434		Chile	South America	AY.25.1	Older	202145		21J (Delta)	Leyton-Carcaman et al Z					cazzo
CHL/AR-UFRO-0387/2021	11/4/2021		7	Chile	Homo sapiens	0.91	OM146363		Chile	South America	AY.25.1	Older	202144		21J (Delta)	Leyton-Carcaman et al AA					cazzo
CHL/AR-UFRO-0388/2021	11/6/2021		7	Chile	Homo sapiens	0.92	OM146364		Chile	South America	AY.25.1	Older	202144		21J (Delta)	Leyton-Carcaman et al AB					cazzo
CHL/AR-UFRO-0037/2021	9/28/2021		7	Chile	Homo sapiens	0.91	OM146099		Chile	South America	AY.25.1	Older	202139		21J (Delta)	Leyton-Carcaman et al AC					cazzo
CHL/AR-UFRO-0164/2021	10/12/2021		4	Chile	Homo sapiens	0.51	OM146206		Chile	South America	AY.25.1	Older	202141		21J (Delta)	Leyton-Carcaman et al AD					cazzo
CHL/AR-UFRO-0191/2021	10/19/2021		7	Chile	Homo sapiens	0.92	OM146235		Chile	South America	AY.25.1	Older	202142		21J (Delta)	Leyton-Carcaman et al AE					cazzo
CHL/AR-UFRO-0250/2021	10/21/2021		7	Chile	Homo sapiens	0.92	OM146277		Chile	South America	AY.25.1	Older	202142		21J (Delta)	Leyton-Carcaman et al AF					cazzo
CHL/AR-UFRO-0052/2021	9/30/2021		7	Chile	Homo sapiens	0.95	OM146106		Chile	South America	AY.25.1	Older	202139		21J (Delta)	Leyton-Carcaman et al AG					cazzo
CHL/AR-UFRO-0050/2021	9/30/2021		7	Chile	Homo sapiens	0.93	OM146104		Chile	South America	AY.25.1	Older	202139		21J (Delta)	Leyton-Carcaman et al AH					cazzo
CHL/AR-UFRO-0057/2021	9/30/2021		7	Chile	Homo sapiens	0.95	OM146111		Chile	South America	AY.25.1	Older	202139		21J (Delta)	Leyton-Carcaman et al AI					cazzo
USA/MD-MDH-4421/2021	8/28/2021		8	USA	Homo sapiens	0.99	OK064145		Maryland	North America	AY.39	Older	202134		21J (Delta)	Keller et al E					cazzo
USA/AK-PHL15619/2021	11/19/2021		7	USA	Homo sapiens	0.96	OL794488		Alaska	North America	AY.39	Older	202146		21J (Delta)	Zidek et al B					cazzo
USA/OH-CDC-MMB09570222/2021	8/3/2021		9	USA	Homo sapiens	1	MZ998266		Ohio	North America	AY.39	Older	202131		21J (Delta)	Howard et al DL					cazzo
USA/GA-CDC-MMB09616961/2021	8/6/2021		8	USA	Homo sapiens	1	MZ998595		Georgia	North America	AY.39	Older	202131		21J (Delta)	Howard et al DM					cazzo
USA/NC-CORVASEQ-DH-276M408000004650/2021	10/5/2021		8	USA	Homo sapiens	0.99	OL868316		North Carolina	North America	AY.39	Older	202140		21J (Delta)	Berrio et al B					cazzo
USA/VA-CDC-LC0393918/2021	11/17/2021		9	USA	Homo sapiens	0.99	OL737608		Virginia	North America	AY.39	Older	202146		21J (Delta)	Howard et al DN		Laboratory Corporation of America	CDC-OAMD		cazzo
USA/IN-CDC-STM-000735908/2021	9/25/2021		9	USA	Homo sapiens	1.01	OK530105		Indiana	North America	AY.39	Older	202138		21J (Delta)	Howard et al DO					cazzo
Peru/PE-LMA-UW21112340735/2021	11/23/2021		8	Peru	Homo sapiens	1	ON150701		Peru	South America	AY.39.2	Older	202147		21J (Delta)	Roychoudhury et al V					cazzo
USA/FL-CDC-QDX31922242/2021	12/10/2021		9	USA	Homo sapiens	1	OM085392		Florida	North America	AY.39.2	Older	202149		21J (Delta)	Howard et al DP		Quest Diagnostics Incorporated	CDC-OAMD		cazzo
Colombia/CO-SAN-UW21120641495/2021	12/6/2021		9	Colombia	Homo sapiens	0.99	ON150699		Colombia	South America	AY.39.2	Older	202149		21J (Delta)	Roychoudhury et al W					cazzo
Colombia/CO-SAN-UW21120626151/2021	12/6/2021		8	Colombia	Homo sapiens	1	ON150700		Colombia	South America	AY.39.2	Older	202149		21J (Delta)	Roychoudhury et al X					cazzo
USA/AL-CDC-FG-037888/2021	6/10/2021		9	USA	Homo sapiens	0.99	MZ449887		Alabama	North America	B.1.617.2	Older	202123		21J (Delta)	Howard et al DQ					cazzo
USA/AL-CDC-LC0082532/2021	6/27/2021		9	USA	Homo sapiens	0.99	MZ554224		Alabama	North America	AY.39.1	Older	202126		21J (Delta)	Howard et al DR		Laboratory Corporation of America	CDC-OAMD		cazzo
USA/PA-CDC-LC0276667/2021	9/14/2021		9	USA	Homo sapiens	0.98	OK369422		Pennsylvania	North America	AY.39.1	Older	202137		21J (Delta)	Howard et al DS					cazzo
NZL/21CV0566/2021	7/28/2021		9	New Zealand	Homo sapiens	0.99	OK426561		Auckland	Oceania	AY.39.1.1	Older	202130		21J (Delta)	Ren et al AS		LabTests	Institute of Environmental Science and Research		cazzo
NZL/21MV1505/2021	9/9/2021		9	New Zealand	Homo sapiens	0.99	OK426791		Auckland	Oceania	AY.39.1.1	Older	202136		21J (Delta)	Ren et al AT		Middlemore Hospital	Institute of Environmental Science and Research		cazzo
NZL/21MV0761/2021	8/19/2021		9	New Zealand	Homo sapiens	0.99	OK433486		New Zealand	Oceania	AY.39.1.1	Older	202133		21J (Delta)	Ren et al AU		LabPLUS	Institute of Environmental Science and Research		cazzo
NZL/21CV0262/2021	8/25/2021		9	New Zealand	Homo sapiens	0.99	OK426304		Capital And Coast	Oceania	AY.39.1.1	Older	202134		21J (Delta)	Ren et al AV		Wellington SCL (WN)	Institute of Environmental Science and Research		cazzo
NZL/21CV0347/2021	8/30/2021		9	New Zealand	Homo sapiens	0.99	OK425924		Auckland	Oceania	AY.39.1.1	Older	202135		21J (Delta)	Ren et al AW		Middlemore Hospital	Institute of Environmental Science and Research		cazzo
NZL/21MV1202/2021	8/29/2021		9	New Zealand	Homo sapiens	0.99	OK426050		Auckland	Oceania	AY.39.1.1	Older	202135		21J (Delta)	Ren et al AX		Middlemore Hospital	Institute of Environmental Science and Research		cazzo
NZL/21CV0388/2021	8/31/2021		9	New Zealand	Homo sapiens	0.99	OK426238		Capital And Coast	Oceania	AY.39.1.1	Older	202135		21J (Delta)	Ren et al AY		Wellington SCL (WN)	Institute of Environmental Science and Research		cazzo
NZL/21MV1330/2021	9/3/2021		9	New Zealand	Homo sapiens	0.99	OK426412		Auckland	Oceania	AY.39.1.1	Older	202135		21J (Delta)	Ren et al AZ		Middlemore Hospital	Institute of Environmental Science and Research		cazzo
NZL/21CV0420/2021	9/1/2021		9	New Zealand	Homo sapiens	0.99	OK426262		Capital And Coast	Oceania	AY.39.1.1	Older	202135		21J (Delta)	Ren et al BA		Wellington SCL (WN)	Institute of Environmental Science and Research		cazzo
NZL/21CV3349/2021	12/1/2021		10	New Zealand	Homo sapiens	0.99	ON670830		New Zealand	Oceania	AY.39.1.1	Older	202148		21J (Delta)	Jelley et al A					cazzo
NZL/21MV1698/2021	9/23/2021		9	New Zealand	Homo sapiens	0.99	ON671660		New Zealand	Oceania	AY.39.1.1	Older	202138		21J (Delta)	Jelley et al B					cazzo
NZL/21MV2301/2021	10/18/2021		9	New Zealand	Homo sapiens	1.01	ON672169		New Zealand	Oceania	AY.39.1.1	Older	202142		21J (Delta)	Jelley et al C					cazzo
NZL/21CV3263/2021	11/27/2021		9	New Zealand	Homo sapiens	1.02	ON670812		New Zealand	Oceania	AY.39.1.1	Older	202147		21J (Delta)	Jelley et al D					cazzo
NZL/21MV1788/2021	9/30/2021		9	New Zealand	Homo sapiens	1.02	ON671729		New Zealand	Oceania	AY.39.1.1	Older	202139		21J (Delta)	Jelley et al E					cazzo
NZL/21MV2579/2021	10/26/2021		9	New Zealand	Homo sapiens	1.02	ON672426		New Zealand	Oceania	AY.39.1.1	Older	202143		21J (Delta)	Jelley et al F					cazzo
NZL/21MV3069/2021	11/10/2021		9	New Zealand	Homo sapiens	1.02	ON672860		New Zealand	Oceania	AY.39.1.1	Older	202145		21J (Delta)	Jelley et al G					cazzo
NZL/21MV3377/2021	12/1/2021		9	New Zealand	Homo sapiens	1.02	ON673109		New Zealand	Oceania	AY.39.1.1	Older	202148		21J (Delta)	Jelley et al H					cazzo
USA/VT-CDCBI-CRSP_GUKUW44LD5BH2WJZ/2021	7/28/2021		9	USA	Homo sapiens	0.97	MZ720682		Vermont	North America	AY.119	Older	202130		21J (Delta)	Lemieux et al P		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases		cazzo
USA/MA-CDCBI-CRSP_JPYJUTJJEVO4ISQI/2021	8/23/2021		10	USA	Homo sapiens	1.01	MZ983039		Massachusetts	North America	AY.119.2	Older	202134		21J (Delta)	Lemieux et al Q		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases		cazzo
CHL/AR-UFRO-0423/2021	11/9/2021		10	Chile	Homo sapiens	1.05	OM146399		Chile	South America	AY.119.1	Older	202145		21J (Delta)	Leyton-Carcaman et al AJ					cazzo
Peru/PE-LMA-UW21122147811/2021	12/21/2021		9	Peru	Homo sapiens	1.05	ON150710		Peru	South America	AY.119.1	Older	202151		21J (Delta)	Roychoudhury et al Y					cazzo
USA/TN-CDC-ASC210608616/2021	12/9/2021		10	USA	Homo sapiens	0.95	OM034087		Tennessee	North America	AY.119	Older	202149		21J (Delta)	Howard et al DT		Aegis Sciences Corporation	CDC-OAMD		cazzo
USA/IL-CDC-LC0251040/2021	8/20/2021		9	USA	Homo sapiens	0.97	OK202053		Illinois	North America	AY.119	Older	202133		21J (Delta)	Howard et al DU					cazzo
USA/CT-CDC-LC0429959/2021	12/11/2021		9	USA	Homo sapiens	0.95	OM041713		Connecticut	North America	AY.119	Older	202149		21J (Delta)	Howard et al DV					cazzo
CHL/AR-UFRO-0374/2021	10/27/2021		9	Chile	Homo sapiens	0.98	OM146351		Chile	South America	AY.119	Older	202143		21J (Delta)	Leyton-Carcaman et al AK					cazzo
UGA/MUWRP-MUL210295/2021	6/9/2021		8	Uganda	Homo sapiens	0.94	ON703271		Uganda	Africa	AY.46	Older	202123		21J (Delta)	Byarugaba et al L					cazzo
UGA/MUWRP-GUL210261/2021	7/22/2021		8	Uganda	Homo sapiens	0.93	ON979396		Uganda	Africa	AY.46	Older	202129		21J (Delta)	Byarugaba et al M					cazzo
KEN/SS2320/2021	9/1/2021		8	Kenya	Homo sapiens	0.96	OK348722		Kenya	Africa	AY.46	Older	202135		21J (Delta)	Githinji et al AY					cazzo
UGA/MUWRP-KIR210110S/2021	5/18/2021		8	Uganda	Homo sapiens	0.94	ON703282		Uganda	Africa	AY.46	Older	202120		21J (Delta)	Byarugaba et al N					cazzo
UGA/MUWRP-KIR210264S/2021	7/12/2021		8	Uganda	Homo sapiens	0.93	ON979407		Uganda	Africa	AY.46	Older	202128		21J (Delta)	Byarugaba et al O					cazzo
UGA/MUWRP-KIR210120S/2021	5/26/2021		8	Uganda	Homo sapiens	0.95	ON703259		Uganda	Africa	AY.46	Older	202121		21J (Delta)	Byarugaba et al P					cazzo
UGA/MUWRP-KIR210555S/2021	10/19/2021		8	Uganda	Homo sapiens	0.93	ON979409		Uganda	Africa	AY.46	Older	202142		21J (Delta)	Byarugaba et al Q					cazzo
USA/NE-CDC-LC0324701/2021	9/28/2021		9	USA	Homo sapiens	0.95	OK606794		Nebraska	North America	AY.46.4	Older	202139		21J (Delta)	Howard et al DW					cazzo
UGA/MUWRP-KIR210557S/2021	10/19/2021		9	Uganda	Homo sapiens	0.93	ON979420		Uganda	Africa	AY.46.4	Older	202142		21J (Delta)	Byarugaba et al R					cazzo
